Country Name,Year,GDP per Capita Growth
Bolivia,1991-01-01,3.10599496109178
Bolivia,1992-01-01,-0.408970621117135
Bolivia,1993-01-01,2.19524003830136
Bolivia,1994-01-01,2.63706307911326
Bolivia,1995-01-01,2.7059284638292
Bolivia,1996-01-01,2.42944609268628
Bolivia,1997-01-01,3.04214191428886
Bolivia,1998-01-01,3.1369975478891
Bolivia,1999-01-01,-1.38342923337323
Bolivia,2000-01-01,0.675361125043224
Bolivia,2001-01-01,-0.0999868428788346
Bolivia,2002-01-01,0.706590425667144
Bolivia,2003-01-01,0.933272881013124
Bolivia,2004-01-01,2.37720837843311
Bolivia,2005-01-01,2.62741194852624
Bolivia,2006-01-01,2.98196771466748
Bolivia,2007-01-01,2.75018668026333
Bolivia,2008-01-01,4.32817113629997
Bolivia,2009-01-01,1.60145645539657
Bolivia,2010-01-01,2.37533557597251
Bolivia,2011-01-01,3.45367377326657
Bolivia,2012-01-01,3.39719643988016
Botswana,1990-01-01,3.6047556044134
Botswana,1991-01-01,4.41455535587501
Botswana,1992-01-01,0.0113750155759504
Botswana,1993-01-01,-0.981011810425144
Botswana,1994-01-01,0.78266012026296
Botswana,1995-01-01,4.25070395341859
Botswana,1996-01-01,3.25223001746195
Botswana,1997-01-01,5.83841856320078
Botswana,1998-01-01,-1.76122084825472
Botswana,1999-01-01,7.34242678307263
Botswana,2000-01-01,-0.104457890944872
Botswana,2001-01-01,-1.73773222971184
Botswana,2002-01-01,4.10782981578046
Botswana,2003-01-01,2.8085206399368
Botswana,2004-01-01,0.925705688278057
Botswana,2005-01-01,2.69387823705134
Botswana,2006-01-01,6.34700490671101
Botswana,2007-01-01,3.73406780956059
Botswana,2008-01-01,1.17691883239625
Botswana,2009-01-01,-15.8905576875302
Botswana,2010-01-01,7.87587113231369
Botswana,2011-01-01,4.71716586305368
Botswana,2012-01-01,-2.07017412610281
Brazil,1990-01-01,-6.06555566873385
Brazil,1991-01-01,-0.700696275905813
Brazil,1992-01-01,-2.17997980598244
Brazil,1993-01-01,3.24256327215463
Brazil,1994-01-01,4.1829558149573
Brazil,1995-01-01,2.60809000580113
Brazil,1996-01-01,0.656502162853471
Brazil,1997-01-01,1.85534302488402
Brazil,1998-01-01,-1.12444242574024
